Code,Name,Volatility,TotalReturn,Sector,Volume,Amount,Marcap,Risk
459580,KODEX CD금리액티브(합성),0.01,0.81,채권,238334,252538,90156,1
360750,TIGER 미국S&P500,0.92,10.89,해외주식,3155211,67564,72870,2
357870,TIGER CD금리투자KIS(합성),0.01,0.81,채권,125023,6942,63291,1
069500,KODEX 200,1.16,-2.61,국내 시장지수,8897553,299759,60051,2
133690,TIGER 미국나스닥100,1.13,13.22,해외주식,206841,28318,45194,2
488770,KODEX 머니마켓액티브,0.01,0.93,기타,160713,16341,45157,1
423160,KODEX KOFR금리액티브(합성),0.01,0.8,채권,39828,4349,42247,1
379800,KODEX 미국S&P500TR,0.92,10.94,해외주식,2146594,42152,35643,2
449170,TIGER KOFR금리액티브(합성),0.01,0.79,채권,61497,6624,34965,1
381170,TIGER 미국테크TOP10 INDXX,1.25,19.89,해외주식,2577991,64697,32898,2
273130,KODEX 종합채권(AA-이상)액티브,0.23,2.34,채권,68356,7990,28153,1
381180,TIGER 미국필라델피아반도체나스닥,1.72,5.66,해외주식,842434,16653,26464,3
278530,KODEX 200TR,1.15,-2.64,국내 시장지수,453213,5349,23728,2
122630,KODEX 레버리지,2.3,-7.3,국내파생,10743066,163943,23676,3
455890,RISE 머니마켓액티브,0.02,0.94,채권,190963,10224,23260,1
310970,TIGER MSCI Korea TR,1.23,-4.06,국내 시장지수,2907,41,21441,2
102110,TIGER 200,1.16,-2.68,국내 시장지수,1995474,67309,20485,2
458730,TIGER 미국배당다우존스,0.86,5.71,해외주식,807039,10278,20255,2
481050,KODEX CD1년금리플러스액티브(합성),0.01,0.81,채권,7995,8177,18211,1
453850,ACE 미국30년국채액티브(H),0.78,-9.09,채권,1831634,14060,17913,1
233740,KODEX 코스닥150레버리지,3.77,-19.88,국내파생,19120505,142268,17680,3
379810,KODEX 미국나스닥100TR,1.14,13.34,해외주식,731051,15011,17674,2
360200,ACE 미국S&P500,0.93,10.85,해외주식,476017,10310,16849,2
371460,TIGER 차이나전기차SOLACTIVE,2.05,4.35,해외주식,629709,5662,16826,3
