Code,Name,Volatility,TotalReturn,Sector,Volume,Amount,Marcap,Risk
459580,KODEX CD금리액티브(합성),0.01,0.26,채권,211686,224220,91617,1
360750,TIGER 미국S&P500,1.01,-0.4,해외주식,2226215,47678,71859,2
357870,TIGER CD금리투자KIS(합성),0.01,0.26,채권,118010,6550,63302,1
069500,KODEX 200,1.28,5.04,국내 시장지수,3522358,117944,58868,2
488770,KODEX 머니마켓액티브,0.01,0.29,기타,24198,2459,45690,1
133690,TIGER 미국나스닥100,1.39,0.79,해외주식,201634,27686,44862,2
423160,KODEX KOFR금리액티브(합성),0.01,0.24,채권,13980,1526,42337,1
379800,KODEX 미국S&P500TR,1.01,-0.43,해외주식,1427354,28038,35203,2
449170,TIGER KOFR금리액티브(합성),0.01,0.25,채권,42185,4542,34955,1
381170,TIGER 미국테크TOP10 INDXX,1.54,3.49,해외주식,1263824,31902,32509,2
273130,KODEX 종합채권(AA-이상)액티브,0.29,-0.51,채권,15575,1815,28205,1
381180,TIGER 미국필라델피아반도체나스닥,1.99,6.43,해외주식,734330,14703,26560,3
122630,KODEX 레버리지,2.54,9.37,국내파생,15075640,227989,25282,3
278530,KODEX 200TR,1.28,4.92,국내 시장지수,131568,1541,23778,2
455890,RISE 머니마켓액티브,0.02,0.29,채권,119093,6373,22594,1
310970,TIGER MSCI Korea TR,1.41,4.72,국내 시장지수,1296,18,21441,2
102110,TIGER 200,1.29,4.95,국내 시장지수,1252374,42015,20068,2
458730,TIGER 미국배당다우존스,0.79,-2.6,해외주식,609623,7736,19690,1
233740,KODEX 코스닥150레버리지,3.48,11.74,국내파생,21126265,157346,18219,3
481050,KODEX CD1년금리플러스액티브(합성),0.01,0.26,채권,7625,7796,18176,1
453850,ACE 미국30년국채액티브(H),0.64,-8.09,채권,1512338,11639,17841,1
379810,KODEX 미국나스닥100TR,1.41,0.83,해외주식,1029401,21220,17285,2
360200,ACE 미국S&P500,1.01,-0.44,해외주식,432849,9370,16674,2
371460,TIGER 차이나전기차SOLACTIVE,1.57,-8.18,해외주식,441961,3911,16489,2
214980,KODEX 단기채권PLUS,0.02,0.29,채권,9107,1030,16235,1
385540,RISE 종합채권(A-이상)액티브,0.25,-0.76,채권,24,2,13470,1
453540,TIGER 25-10 회사채(A+이상)액티브,0.02,0.31,채권,75140,4072,13092,1
367380,ACE 미국나스닥100,1.39,0.88,해외주식,554192,13084,12875,2
229200,KODEX 코스닥150,1.83,6.52,국내 시장지수,2453987,29296,12205,3
476550,TIGER 미국30년국채커버드콜액티브(H),0.68,-7.71,채권,935846,7771,11405,1
252670,KODEX 200선물인버스2X,2.53,-9.53,국내파생,108853811,257872,10911,3
494900,TIGER 25-12 금융채(AA-이상),0.02,0.31,채권,32,1,10763,1
475630,TIGER CD1년금리액티브(합성),0.01,0.26,기타,11769,12163,10679,1
148020,RISE 200,1.28,4.98,국내 시장지수,417807,14094,10661,2
102780,KODEX 삼성그룹,1.32,4.53,국내 업종/테마,643606,5396,10493,2
305720,KODEX 2차전지산업,2.41,-2.1,국내 업종/테마,1787166,23025,10080,3
476810,KODEX 25-11 은행채(AA-이상)PLUS액티브,0.05,0.29,채권,3166,32,9647,1
491080,KODEX 25-12 은행채(AAA)액티브,0.02,0.3,채권,5013,508,9542,1
