Code,Name,Volatility,TotalReturn,Sector,Volume,Amount,Marcap,Risk
459580,KODEX CD금리액티브(합성),0.01,0.28,채권,236572,250671,90156,1
360750,TIGER 미국S&P500,0.93,-0.19,해외주식,3150594,67464,72887,2
357870,TIGER CD금리투자KIS(합성),0.01,0.27,채권,124776,6928,63291,1
069500,KODEX 200,1.16,3.71,국내 시장지수,8885232,299344,60078,2
133690,TIGER 미국나스닥100,1.29,0.9,해외주식,206002,28202,45214,2
488770,KODEX 머니마켓액티브,0.01,0.32,기타,158455,16112,45157,1
423160,KODEX KOFR금리액티브(합성),0.01,0.28,채권,39809,4347,42245,1
379800,KODEX 미국S&P500TR,0.93,-0.08,해외주식,2145311,42127,35652,2
449170,TIGER KOFR금리액티브(합성),0.01,0.27,채권,61414,6615,34966,1
381170,TIGER 미국테크TOP10 INDXX,1.45,2.4,해외주식,2481884,62276,32905,2
273130,KODEX 종합채권(AA-이상)액티브,0.29,-0.23,채권,68139,7965,28155,1
381180,TIGER 미국필라델피아반도체나스닥,1.9,7.54,해외주식,841093,16626,26490,3
278530,KODEX 200TR,1.18,3.68,국내 시장지수,452833,5345,23748,2
122630,KODEX 레버리지,2.32,6.52,국내파생,10730179,163747,23692,3
455890,RISE 머니마켓액티브,0.02,0.33,채권,190662,10208,23262,1
310970,TIGER MSCI Korea TR,1.32,3.89,국내 시장지수,2904,41,21411,2
102110,TIGER 200,1.18,3.56,국내 시장지수,1993654,67248,20494,2
458730,TIGER 미국배당다우존스,0.77,-1.95,해외주식,806313,10269,20247,1
481050,KODEX CD1년금리플러스액티브(합성),0.01,0.28,채권,7980,8162,18211,1
453850,ACE 미국30년국채액티브(H),0.65,-7.69,채권,1830047,14048,17924,1
233740,KODEX 코스닥150레버리지,2.89,9.51,국내파생,19078320,141955,17704,3
379810,KODEX 미국나스닥100TR,1.31,0.93,해외주식,727179,14931,17682,2
360200,ACE 미국S&P500,0.93,-0.16,해외주식,471559,10213,16852,2
371460,TIGER 차이나전기차SOLACTIVE,1.54,-5.47,해외주식,627645,5643,16845,2
214980,KODEX 단기채권PLUS,0.02,0.35,채권,61538,6968,16291,1
385540,RISE 종합채권(A-이상)액티브,0.26,-0.34,채권,1003,108,13598,1
453540,TIGER 25-10 회사채(A+이상)액티브,0.02,0.38,채권,116373,6311,13259,1
367380,ACE 미국나스닥100,1.29,0.92,해외주식,628019,14773,13073,2
229200,KODEX 코스닥150,1.52,5.07,국내 시장지수,4307307,51432,12753,2
252670,KODEX 200선물인버스2X,2.31,-6.96,국내파생,93111476,218202,11897,3
476550,TIGER 미국30년국채커버드콜액티브(H),0.69,-7.28,채권,1293744,10721,11305,1
148020,RISE 200,1.17,3.66,국내 시장지수,932981,31648,10881,2
494900,TIGER 25-12 금융채(AA-이상),0.02,0.37,채권,12486,630,10865,1
475630,TIGER CD1년금리액티브(합성),0.01,0.28,기타,14352,14837,10820,1
102780,KODEX 삼성그룹,1.28,1.97,국내 업종/테마,94236,779,10313,2
305720,KODEX 2차전지산업,2.1,-4.12,국내 업종/테마,1468841,18818,9852,3
491080,KODEX 25-12 은행채(AAA)액티브,0.02,0.37,채권,3684,373,9780,1
476810,KODEX 25-11 은행채(AA-이상)PLUS액티브,0.04,0.43,채권,2628,27,9656,1
368590,RISE 미국나스닥100,1.3,0.88,해외주식,248574,5653,9327,2
458760,TIGER 미국배당다우존스타겟커버드콜2호,0.7,-0.95,해외주식,327332,3542,9215,1
477080,RISE CD금리액티브(합성),0.01,0.29,채권,5231,537,9150,1
305540,TIGER 2차전지테마,2.21,-4.43,국내 업종/테마,1944017,30189,8923,3
278540,KODEX MSCI Korea TR,1.14,3.73,국내 시장지수,1331,14,8885,2
436140,SOL 종합채권(AA-이상)액티브,0.25,-0.33,채권,52,5,8306,1
379780,RISE 미국S&P500,0.92,-0.16,해외주식,203215,3798,7956,2
446720,SOL 미국배당다우존스,0.78,-2.0,해외주식,272140,3177,7861,1
157450,TIGER 단기통안채,0.01,0.26,채권,11719,1281,7541,1
356540,ACE 종합채권(AA-이상)KIS액티브,0.29,-0.38,채권,2883,307,7538,1
457480,ACE 테슬라밸류체인액티브,3.73,-1.58,해외주식,1760331,31083,7532,3
315930,KODEX Top5PlusTR,1.43,6.36,국내 업종/테마,20842,459,7497,2
294400,KOSEF 200TR,1.15,3.56,국내 시장지수,42162,1808,7320,2
453870,TIGER 인도니프티50,0.66,-3.85,해외주식,177267,2383,7003,1
153130,KODEX 단기채권,0.02,0.28,채권,23972,2687,6912,1
